record_id,relation,carrier,obs081_rig_status,obs082_class,survival_score,survival_score_source,survival_evidence_available,relation_contrast_score,carrier_contrast_score,contract_contrast_score,geometry_contrast_score,permutation_contrast_score,negative_control_strength_score,negative_control_evidence_completeness,failure_localization_score,primary_failure_locus,localization_confidence,localization_evidence_basis,obs082_diffuse_prior_flag,repair_specificity_level,repair_specificity_score,candidate_metric_available,matched_negative_control_available_for_repair,c4_evidence_gate_passed,subclass,readiness_statement,primary_limiter,secondary_limiter,candidate_next_test_type,rationale,guardrail_note
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,,C: diagnostic-only,0.921024216048558,obs080d_carrier_mean_ba,True,1.0,0.78975783951442,,1.0,,0.6869273518543261,3/4_contrast_components_available,0.35,relation_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.687, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,,C: diagnostic-only,0.9958196645269116,obs080d_carrier_mean_ba,True,0.18864128325083662,1.0,,1.0,,0.5065923849752509,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.507, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,,C: diagnostic-only,1.0,obs080d_carrier_mean_ba,True,0.0012007537964675574,1.0,,1.0,,0.4503602261389402,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.450, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,,C: diagnostic-only,0.8854513776926801,obs080d_carrier_mean_ba,True,0.9890356979324266,1.0,,1.0,,0.7467107093797279,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.747, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
three_way__geometry_scores_only,three_way,geometry_scores_only,,C: diagnostic-only,0.9274535052413202,obs080d_carrier_mean_ba,True,0.7164056697269583,1.0,,1.0,,0.6649217009180876,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.665, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
three_way__no_window,three_way,no_window,,C: diagnostic-only,0.9998985690243564,obs080d_carrier_mean_ba,True,0.001014309756436349,1.0,,1.0,,0.45030429292693086,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.450, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
three_way__stability_plus_geometry,three_way,stability_plus_geometry,,C: diagnostic-only,0.976955536201828,obs080d_carrier_mean_ba,True,0.18864128325083662,1.0,,1.0,,0.5065923849752509,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.507, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
three_way__strict_numeric_all,three_way,strict_numeric_all,,C: diagnostic-only,0.9998799246203532,obs080d_carrier_mean_ba,True,0.0012007537964675574,1.0,,1.0,,0.4503602261389402,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.450, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
three_way__path_shares_only,three_way,path_shares_only,,C: diagnostic-only,0.8194525354554,obs080d_carrier_mean_ba,True,1.0,1.0,,1.0,,0.75,3/4_contrast_components_available,0.35,relation_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.750, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
three_way__stability_core_3,three_way,stability_core_3,,C: diagnostic-only,0.8732596625718628,obs080d_carrier_mean_ba,True,1.0,1.0,,1.0,,0.75,3/4_contrast_components_available,0.35,relation_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.750, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
