record_id,relation,carrier,target_score_basis,target_score_source,control_relation,control_record_id,control_score_basis,control_score_source,relation_contrast_delta,relation_contrast_abs_delta,specificity_direction,expected_direction,contrast_support,evidence_available,interpretation
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,0.993301908258506,obs080d_carrier_mean_ba,three_way,three_way__stability_plus_geometry,0.976955536201828,obs080d_carrier_mean_ba,0.016346372056677994,0.016346372056677994,target_stronger,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,0.9999708600849608,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__strict_numeric_all,1.0,obs080d_carrier_mean_ba,-2.9139915039166908e-05,2.9139915039166908e-05,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,0.9999708600849608,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__strict_numeric_all,1.0,obs080d_carrier_mean_ba,-2.9139915039166908e-05,2.9139915039166908e-05,target_weaker,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,0.9999708600849608,obs080d_carrier_mean_ba,three_way,three_way__strict_numeric_all,0.9998799246203532,obs080d_carrier_mean_ba,9.093546460758883e-05,9.093546460758883e-05,target_stronger,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,0.8989012329740419,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__path_shares_only,0.915184561121935,obs080d_carrier_mean_ba,-0.016283328147893128,0.016283328147893128,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,0.8989012329740419,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__path_shares_only,0.921024216048558,obs080d_carrier_mean_ba,-0.0221229830745161,0.0221229830745161,target_weaker,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,0.8989012329740419,obs080d_carrier_mean_ba,three_way,three_way__path_shares_only,0.8194525354554,obs080d_carrier_mean_ba,0.07944869751864192,0.07944869751864192,target_stronger,target_may_be_stronger,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,0.9843549474859228,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,0.001760124639455185,0.001760124639455185,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,0.9843549474859228,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__stability_core_3,0.8854513776926801,obs080d_carrier_mean_ba,0.09890356979324266,0.09890356979324266,target_stronger,target_may_be_stronger,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,0.9843549474859228,obs080d_carrier_mean_ba,three_way,three_way__stability_core_3,0.8732596625718628,obs080d_carrier_mean_ba,0.11109528491405996,0.11109528491405996,target_stronger,target_may_be_stronger,strong,True,"Matched relation contrast is strong enough to support specificity evidence, subject to other limiters."
C_vs_Cp3__no_window,C_vs_Cp3,no_window,1.0,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__no_window,0.9999708600849608,obs080d_carrier_mean_ba,2.9139915039166908e-05,2.9139915039166908e-05,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__no_window,C_vs_Cp3,no_window,1.0,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__no_window,1.0,obs080d_carrier_mean_ba,0.0,0.0,similar,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__no_window,C_vs_Cp3,no_window,1.0,obs080d_carrier_mean_ba,three_way,three_way__no_window,0.9998985690243564,obs080d_carrier_mean_ba,0.0001014309756436349,0.0001014309756436349,target_stronger,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,0.9861301809832822,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__stability_plus_geometry,0.993301908258506,obs080d_carrier_mean_ba,-0.007171727275223749,0.007171727275223749,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,0.9861301809832822,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__stability_plus_geometry,0.9958196645269116,obs080d_carrier_mean_ba,-0.009689483543629418,0.009689483543629418,target_weaker,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,0.9861301809832822,obs080d_carrier_mean_ba,three_way,three_way__stability_plus_geometry,0.976955536201828,obs080d_carrier_mean_ba,0.009174644781454244,0.009174644781454244,target_stronger,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,1.0,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__strict_numeric_all,0.9999708600849608,obs080d_carrier_mean_ba,2.9139915039166908e-05,2.9139915039166908e-05,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,1.0,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__strict_numeric_all,1.0,obs080d_carrier_mean_ba,0.0,0.0,similar,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,1.0,obs080d_carrier_mean_ba,three_way,three_way__strict_numeric_all,0.9998799246203532,obs080d_carrier_mean_ba,0.00012007537964675574,0.00012007537964675574,target_stronger,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,0.9456003308059068,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,-0.03787764080325562,0.03787764080325562,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,0.9456003308059068,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__geometry_scores_only,0.999094072214016,obs080d_carrier_mean_ba,-0.05349374140810925,0.05349374140810925,target_weaker,target_may_be_stronger,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,0.9456003308059068,obs080d_carrier_mean_ba,three_way,three_way__geometry_scores_only,0.9274535052413202,obs080d_carrier_mean_ba,0.018146825564586577,0.018146825564586577,target_stronger,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,0.915184561121935,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__path_shares_only,0.8989012329740419,obs080d_carrier_mean_ba,0.016283328147893128,0.016283328147893128,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,0.915184561121935,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__path_shares_only,0.921024216048558,obs080d_carrier_mean_ba,-0.0058396549266229725,0.0058396549266229725,target_weaker,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,0.915184561121935,obs080d_carrier_mean_ba,three_way,three_way__path_shares_only,0.8194525354554,obs080d_carrier_mean_ba,0.09573202566653505,0.09573202566653505,target_stronger,target_may_be_stronger,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,0.999094072214016,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,0.015616100604853633,0.015616100604853633,target_stronger,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,0.999094072214016,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__geometry_scores_only,0.9456003308059068,obs080d_carrier_mean_ba,0.05349374140810925,0.05349374140810925,target_stronger,target_may_be_weaker_or_geometry_sensitive,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,0.999094072214016,obs080d_carrier_mean_ba,three_way,three_way__geometry_scores_only,0.9274535052413202,obs080d_carrier_mean_ba,0.07164056697269583,0.07164056697269583,target_stronger,no_predeclared_direction,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,1.0,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__no_window,0.9999708600849608,obs080d_carrier_mean_ba,2.9139915039166908e-05,2.9139915039166908e-05,target_stronger,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,1.0,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__no_window,1.0,obs080d_carrier_mean_ba,0.0,0.0,similar,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,1.0,obs080d_carrier_mean_ba,three_way,three_way__no_window,0.9998985690243564,obs080d_carrier_mean_ba,0.0001014309756436349,0.0001014309756436349,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,0.921024216048558,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__path_shares_only,0.8989012329740419,obs080d_carrier_mean_ba,0.0221229830745161,0.0221229830745161,target_stronger,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,0.921024216048558,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__path_shares_only,0.915184561121935,obs080d_carrier_mean_ba,0.0058396549266229725,0.0058396549266229725,target_stronger,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,0.921024216048558,obs080d_carrier_mean_ba,three_way,three_way__path_shares_only,0.8194525354554,obs080d_carrier_mean_ba,0.10157168059315802,0.10157168059315802,target_stronger,no_predeclared_direction,strong,True,"Matched relation contrast is strong enough to support specificity evidence, subject to other limiters."
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,0.9958196645269116,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__stability_plus_geometry,0.993301908258506,obs080d_carrier_mean_ba,0.0025177562684056687,0.0025177562684056687,target_stronger,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,0.9958196645269116,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__stability_plus_geometry,0.9861301809832822,obs080d_carrier_mean_ba,0.009689483543629418,0.009689483543629418,target_stronger,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,0.9958196645269116,obs080d_carrier_mean_ba,three_way,three_way__stability_plus_geometry,0.976955536201828,obs080d_carrier_mean_ba,0.018864128325083662,0.018864128325083662,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,1.0,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__strict_numeric_all,0.9999708600849608,obs080d_carrier_mean_ba,2.9139915039166908e-05,2.9139915039166908e-05,target_stronger,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,1.0,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__strict_numeric_all,1.0,obs080d_carrier_mean_ba,0.0,0.0,similar,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,1.0,obs080d_carrier_mean_ba,three_way,three_way__strict_numeric_all,0.9998799246203532,obs080d_carrier_mean_ba,0.00012007537964675574,0.00012007537964675574,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,0.8854513776926801,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,-0.09714344515378748,0.09714344515378748,target_weaker,target_may_be_weaker_or_geometry_sensitive,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,0.8854513776926801,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__stability_core_3,0.9843549474859228,obs080d_carrier_mean_ba,-0.09890356979324266,0.09890356979324266,target_weaker,target_may_be_weaker_or_geometry_sensitive,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,0.8854513776926801,obs080d_carrier_mean_ba,three_way,three_way__stability_core_3,0.8732596625718628,obs080d_carrier_mean_ba,0.012191715120817292,0.012191715120817292,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__geometry_scores_only,three_way,geometry_scores_only,0.9274535052413202,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,-0.056024466367842196,0.056024466367842196,target_weaker,target_may_be_weaker_or_geometry_sensitive,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
three_way__geometry_scores_only,three_way,geometry_scores_only,0.9274535052413202,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__geometry_scores_only,0.9456003308059068,obs080d_carrier_mean_ba,-0.018146825564586577,0.018146825564586577,target_weaker,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__geometry_scores_only,three_way,geometry_scores_only,0.9274535052413202,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__geometry_scores_only,0.999094072214016,obs080d_carrier_mean_ba,-0.07164056697269583,0.07164056697269583,target_weaker,no_predeclared_direction,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
three_way__no_window,three_way,no_window,0.9998985690243564,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__no_window,0.9999708600849608,obs080d_carrier_mean_ba,-7.2291060604468e-05,7.2291060604468e-05,target_weaker,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__no_window,three_way,no_window,0.9998985690243564,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__no_window,1.0,obs080d_carrier_mean_ba,-0.0001014309756436349,0.0001014309756436349,target_weaker,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__no_window,three_way,no_window,0.9998985690243564,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__no_window,1.0,obs080d_carrier_mean_ba,-0.0001014309756436349,0.0001014309756436349,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__stability_plus_geometry,three_way,stability_plus_geometry,0.976955536201828,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__stability_plus_geometry,0.993301908258506,obs080d_carrier_mean_ba,-0.016346372056677994,0.016346372056677994,target_weaker,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__stability_plus_geometry,three_way,stability_plus_geometry,0.976955536201828,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__stability_plus_geometry,0.9861301809832822,obs080d_carrier_mean_ba,-0.009174644781454244,0.009174644781454244,target_weaker,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__stability_plus_geometry,three_way,stability_plus_geometry,0.976955536201828,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__stability_plus_geometry,0.9958196645269116,obs080d_carrier_mean_ba,-0.018864128325083662,0.018864128325083662,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__strict_numeric_all,three_way,strict_numeric_all,0.9998799246203532,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__strict_numeric_all,0.9999708600849608,obs080d_carrier_mean_ba,-9.093546460758883e-05,9.093546460758883e-05,target_weaker,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__strict_numeric_all,three_way,strict_numeric_all,0.9998799246203532,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__strict_numeric_all,1.0,obs080d_carrier_mean_ba,-0.00012007537964675574,0.00012007537964675574,target_weaker,target_may_be_weaker_or_geometry_sensitive,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__strict_numeric_all,three_way,strict_numeric_all,0.9998799246203532,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__strict_numeric_all,1.0,obs080d_carrier_mean_ba,-0.00012007537964675574,0.00012007537964675574,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
three_way__path_shares_only,three_way,path_shares_only,0.8194525354554,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__path_shares_only,0.8989012329740419,obs080d_carrier_mean_ba,-0.07944869751864192,0.07944869751864192,target_weaker,target_may_be_weaker_or_geometry_sensitive,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
three_way__path_shares_only,three_way,path_shares_only,0.8194525354554,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__path_shares_only,0.915184561121935,obs080d_carrier_mean_ba,-0.09573202566653505,0.09573202566653505,target_weaker,target_may_be_weaker_or_geometry_sensitive,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
three_way__path_shares_only,three_way,path_shares_only,0.8194525354554,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__path_shares_only,0.921024216048558,obs080d_carrier_mean_ba,-0.10157168059315802,0.10157168059315802,target_weaker,no_predeclared_direction,strong,True,"Matched relation contrast is strong enough to support specificity evidence, subject to other limiters."
three_way__stability_core_3,three_way,stability_core_3,0.8732596625718628,obs080d_carrier_mean_ba,C_vs_Cp2,C_vs_Cp2__stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,-0.10933516027460477,0.10933516027460477,target_weaker,target_may_be_weaker_or_geometry_sensitive,strong,True,"Matched relation contrast is strong enough to support specificity evidence, subject to other limiters."
three_way__stability_core_3,three_way,stability_core_3,0.8732596625718628,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__stability_core_3,0.9843549474859228,obs080d_carrier_mean_ba,-0.11109528491405996,0.11109528491405996,target_weaker,target_may_be_weaker_or_geometry_sensitive,strong,True,"Matched relation contrast is strong enough to support specificity evidence, subject to other limiters."
three_way__stability_core_3,three_way,stability_core_3,0.8732596625718628,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__stability_core_3,0.8854513776926801,obs080d_carrier_mean_ba,-0.012191715120817292,0.012191715120817292,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
