source_role,source_path,key_family,canonical_column,source_column,canonical_unique,source_unique,value_overlap_count,canonical_overlap_ratio,source_overlap_ratio,schema_bridge_status,warning
pairwise_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,case,case,case,3,3,3,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
pairwise_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,object,object,object,8,8,8,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
pairwise_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,cohort,cohort,cohort,6,6,6,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
pairwise_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,transition,,transition,0,5,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
pairwise_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,scheme,,scheme,0,4,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
numeric_transform_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,observation_id,,row_id,0,168,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
numeric_transform_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,case,case,case,3,3,3,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
numeric_transform_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,object,object,object,8,8,8,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
numeric_transform_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,cohort,cohort,cohort,6,6,6,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
numeric_transform_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,transition,,transition,0,5,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
numeric_transform_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,scheme,,scheme,0,4,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
scale_band_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,observation_id,,row_id,0,168,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
scale_band_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,case,case,case,3,3,3,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
scale_band_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,object,object,object,8,8,8,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
scale_band_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,cohort,cohort,cohort,6,6,6,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
scale_band_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,transition,,transition,0,5,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
scale_band_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,scheme,,scheme,0,4,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
feature_contract_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,observation_id,,row_id,0,168,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
feature_contract_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,case,case,case,3,3,3,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
feature_contract_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,object,object,object,8,8,8,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
feature_contract_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,cohort,cohort,cohort,6,6,6,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
feature_contract_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,transition,,transition,0,5,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
feature_contract_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,scheme,,scheme,0,4,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
structural_resampling_summary,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080d_structural_resampling_contract_sensitivity/obs080d_bootstrap_summary.csv,case,case,,3,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
structural_resampling_summary,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080d_structural_resampling_contract_sensitivity/obs080d_bootstrap_summary.csv,object,object,,8,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
structural_resampling_summary,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080d_structural_resampling_contract_sensitivity/obs080d_bootstrap_summary.csv,cohort,cohort,,6,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
obs083_relation_controls,/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs083_negative_control_localization/obs083_relation_control_contrast.csv,case,case,,3,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
obs083_relation_controls,/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs083_negative_control_localization/obs083_relation_control_contrast.csv,object,object,,8,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
obs083_relation_controls,/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs083_negative_control_localization/obs083_relation_control_contrast.csv,cohort,cohort,,6,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
obs083_carrier_controls,/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs083_negative_control_localization/obs083_carrier_control_contrast.csv,case,case,,3,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
obs083_carrier_controls,/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs083_negative_control_localization/obs083_carrier_control_contrast.csv,object,object,,8,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
obs083_carrier_controls,/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs083_negative_control_localization/obs083_carrier_control_contrast.csv,cohort,cohort,,6,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
